case_id,type,severity,confidence,description,wallets
RAAZ-26-1003,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 7 other RAAZ case(s): RAAZ-26-1005, RAAZ-26-1011, RAAZ-26-1023, RAAZ-26-1039, RAAZ-26-1050, RAAZ-26-1054, RAAZ-26-1055. Likely the same operator (Syndicate B).",TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1004,Fan-out distribution,High,0.91,Reported wallet split funds into 5 fresh wallets within minutes of the last victim payment.,Tg9wJGCu9kpGVEbEC7S9VaQt28djcny3vb;T1HmjTi1SMCy2kEdHAwEi7bK5DvcW1uk47;TjM2zfDsHZR5q1UM4NLVjneBVuLu3oHhbd;TQkuUQc8YSarhQVRiQVZM72YmcDUKFHDDx;T3AzZeTbVNH9TnThq996vLToQoa1kJC6ad;TKeFPB4Y2g5ar6bDajvK4XXearDvyiZzvD
RAAZ-26-1004,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",T1HmjTi1SMCy2kEdHAwEi7bK5DvcW1uk47;TjM2zfDsHZR5q1UM4NLVjneBVuLu3oHhbd;TQkuUQc8YSarhQVRiQVZM72YmcDUKFHDDx;T3AzZeTbVNH9TnThq996vLToQoa1kJC6ad;TKeFPB4Y2g5ar6bDajvK4XXearDvyiZzvD
RAAZ-26-1004,Fan-in from unrelated sources,Medium,0.78,3 other wallets paid into the reported wallet in the same window - possible additional victims.,TiKkPZqbqYcSB4LUCTr3wLTEtkFPF145Ef;TK21nmAfxxFQTemdnDVWq9jmkUYUxwvZ87;T78UD5tjcWyJGsEpC8YhrhykLW7XrEHg4J
RAAZ-26-1004,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TJ5GD22Z16n18VP4TPXfSucoxu1v8pRvLq
RAAZ-26-1005,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,TyyTgFRjPPqVqpGykUZcSxYp45cr7RwVJR;TfUvw2nEyR8cS5Mn5NTWzUgSacvLF6v4D4;Two3Zw8emNrnguRz6RHxyFAp9gV36WNPKs;TuxsTHxDRXCW4zF3Pu24nFnaZCZvwDEq7S
RAAZ-26-1005,Peel chain,High,0.88,6-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,T91cfkYrXn1juFqyo84pqv3Wv9YdxKEQdW;TACwvdgn5bq2mZnfyVN1o7UuMSRWHFubFz;TezAdzSGdhdJ3dP9MGDRCGiWv4SJVQS2L6;T8S8kwEigw2seuiWXP2scW5jM7mqJC13Xa;T9P3DWJes64sjxvz3s4qjRJGtKDEm4H6wC;Ti1PnkGXRYVgRd2BYVuFaEEFvevasprvBz;TW3Yw9KL991VqahyMyHaumfrenmZGirRHz;TN5FHUds9H6eST7csvdKspToiUQUmr2DNy;TY7DbyfyeZVaH8j6huDYLaGYxwZwkFCZzM;T1JaHTVNfpng2uZxaLcHJ4E34NXw7RTz73;TUGddG2BiqCbNcRXsbGTn3jfuNnB81gZ84;TV2K9DdjePPJkkujiiNQBn2NQPVmd9MmP7
RAAZ-26-1005,Fan-in from unrelated sources,Medium,0.78,4 other wallets paid into the reported wallet in the same window - possible additional victims.,TcD3gZ7T1eDCJma8b4Fybjs5SXPAmMPySU;TE8m6UWZvTXrTqD4s8Vm3VWc4E4fYxi66S;T3BSYEtZhd6KBvMQkLqp8GvSzLeQre2kdh;TLAK5iYGhaNS6UayBakJYs5Ryny59GQjpY
RAAZ-26-1005,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1005,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 7 other RAAZ case(s): RAAZ-26-1003, RAAZ-26-1011, RAAZ-26-1023, RAAZ-26-1039, RAAZ-26-1050, RAAZ-26-1054, RAAZ-26-1055. Likely the same operator (Syndicate B).",TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1006,Mixer / tumbler usage,Critical,0.95,"56,322.25 USDC sent into Umbra Tumbler; outputs linked probabilistically by amount and timing.",0xec93a5a5e96bb020c36c24ddd88416e6e1d35a53
RAAZ-26-1006,Fan-in from unrelated sources,Medium,0.78,5 other wallets paid into the reported wallet in the same window - possible additional victims.,0xb7eb084896f22ed0f7547a9524fec8d72b685a50;0x4a4b716f1a7044bff026c42b78e231486f2237d0;0x837707f126e50147da318aa764297ec444a14dd0;0x77304d6320360e4c3cb123cf53096f1f52d46685;0x8605d265c1d3c1d087a68fc0e78f6b809a968c40
RAAZ-26-1006,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,0x7ba29231deb083be41ca93c39943223179e2d4e6
RAAZ-26-1006,Funds dormant in layering wallets,Medium,0.8,No exchange deposit observed yet; funds are sitting in layering wallets. Recommend adding to watchlist.,0x1cb21d3a9c1341c61df9f357f3e041a200a427dd;0xa191d6bf428ac58498fb789139c3d75d561cb2f7
RAAZ-26-1007,Peel chain,High,0.88,4-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,TxDnfZ4tTyo6xsLTNYakEZD5YRubXEWz9S;T6axeTZnVKi6XQghNrWs6punRDnqkZnYny;TpvE4K1geFBSPfGjgYqe1VW3vgqAWNJk49;TfQYsAux6RuixVj1GjJPsoGkjKJQ8qj3Si;TKu4ppQ2owsXyiKQaFKkzazYPRNYNGkPd9;TyRyYc1wLfcoCyjVucresUXis5giah7p1S;T4CZbx4F16VGe7N2Xp5Ck2YB7ust4SDTWx;TZmm4SB9gJa89unpL4RfctLp5VjtaWrreF
RAAZ-26-1007,Fan-in from unrelated sources,Medium,0.78,4 other wallets paid into the reported wallet in the same window - possible additional victims.,TqcUcEceTnhZpXLx8SCK3QVSFgGBpCsa1S;Tb5ue51RedZeRKrquSn8G14a6TKbHhyjLn;TpWkaSFWFujyhd8aNzBpNcApM4abkACtXd;TMqwyp4TY93GGPQyNt7Zup9pc6CyF4VLzV
RAAZ-26-1007,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TaJXqcRHSmfSNjNFNsY7WfGZgnjoyP3vkT
RAAZ-26-1007,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 4 other RAAZ case(s): RAAZ-26-1009, RAAZ-26-1037, RAAZ-26-1048, RAAZ-26-1059. Likely the same operator (Syndicate A).",TaJXqcRHSmfSNjNFNsY7WfGZgnjoyP3vkT
RAAZ-26-1008,Fan-out distribution,High,0.91,Reported wallet split funds into 6 fresh wallets within minutes of the last victim payment.,0x06368639d1c782dd1341375b40ed345ec260ef27;0xd3c636490cbff5bc821463acf3100ab15c37f6ad;0x6f66eba30138884204028c8ab8b9bea3a814a31f;0x37b13d5f811e2c5a5b419ec24cb4da274ae1c8e7;0xcdcbf24fefca6dd763676fc88b41faadf47e4c0a;0x67a99a67e33daf2a00bcdd9f5855e8da89cbea62;0xc7b6617c9d9f10b9a2bd4204b51833c231fe8859
RAAZ-26-1008,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0xd3c636490cbff5bc821463acf3100ab15c37f6ad;0x6f66eba30138884204028c8ab8b9bea3a814a31f;0x37b13d5f811e2c5a5b419ec24cb4da274ae1c8e7;0xcdcbf24fefca6dd763676fc88b41faadf47e4c0a;0x67a99a67e33daf2a00bcdd9f5855e8da89cbea62;0xc7b6617c9d9f10b9a2bd4204b51833c231fe8859
RAAZ-26-1008,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,0x12e76999848954bc2a2ffd69f0388d7862c636e8
RAAZ-26-1009,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,TMyQZLqUYXrrPHfz7NrX8HrMo3ws5M2GTg;TwgJKgFL1rzE4hVioiis8bQHPvKSveBRsS;TrycsM2bFNRJhTg4qJnKoxsdXUv3nrYgyY;TWogNzqFcoPySEcXrgwPpEauQo4xYPdEAd;TWhsDH55YgqRWRCAt9vBHk1Bjn5an2RSCz
RAAZ-26-1009,Fan-in from unrelated sources,Medium,0.78,4 other wallets paid into the reported wallet in the same window - possible additional victims.,TkcRy5dBqwmAvYL8qK9bG7rZHhvfEEmmEU;TMbu5vSarCLnouQy8ViqJYQf46kSPk5UQW;THn3qEyuXupddLxDC9Tdd9SHYsKVz4RK8f;TSv5NDYRAGEeh8CCjUY9QGNvwtW2rDdssK
RAAZ-26-1009,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TaJXqcRHSmfSNjNFNsY7WfGZgnjoyP3vkT
RAAZ-26-1009,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 4 other RAAZ case(s): RAAZ-26-1007, RAAZ-26-1037, RAAZ-26-1048, RAAZ-26-1059. Likely the same operator (Syndicate A).",TaJXqcRHSmfSNjNFNsY7WfGZgnjoyP3vkT
RAAZ-26-1010,Fan-out distribution,High,0.91,Reported wallet split funds into 5 fresh wallets within minutes of the last victim payment.,0x6c7ffc768706c08d961a247d15efcab1e8d36dbe;0x4e9d3db5fa754da5756657c413d598e5773b7184;0x100efdc535d99f3f1b8f5cb8ee244e1ccfe32ca2;0xd575e1afca8451a9136dba2c7c7def8c13657b00;0x8139002346e86890687082ea3ddb73d2f264a13d;0x7a23e9655417af815085f583e49dbc2b4c417791
RAAZ-26-1010,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0x4e9d3db5fa754da5756657c413d598e5773b7184;0x100efdc535d99f3f1b8f5cb8ee244e1ccfe32ca2;0xd575e1afca8451a9136dba2c7c7def8c13657b00;0x8139002346e86890687082ea3ddb73d2f264a13d;0x7a23e9655417af815085f583e49dbc2b4c417791
RAAZ-26-1010,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,0x0001404809622b7eadbcde7f87fa1a51f795225e;0xc214a675c97c205b2d42a0445527783bb6691615
RAAZ-26-1010,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x89686d90de06a6be63ca602cdab6765c4504c519
RAAZ-26-1010,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 3 other RAAZ case(s): RAAZ-26-1012, RAAZ-26-1013, RAAZ-26-1014. Likely the same operator (Syndicate D).",0x89686d90de06a6be63ca602cdab6765c4504c519
RAAZ-26-1011,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",TQqi545kqBTvsZa3iTvEfZzKX7XPv9Usdq;T7mmCQsX2FHoKg5dBrJSFwM1QeXQXZGDAK
RAAZ-26-1011,Fan-in from unrelated sources,Medium,0.78,2 other wallets paid into the reported wallet in the same window - possible additional victims.,TzMRYPJgmBvhHeUvYHemtrx5rLyrweeFtF;TsDBhnSgLPZhFeahuAujGzonq9KWHEBz4T
RAAZ-26-1011,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1011,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 7 other RAAZ case(s): RAAZ-26-1003, RAAZ-26-1005, RAAZ-26-1023, RAAZ-26-1039, RAAZ-26-1050, RAAZ-26-1054, RAAZ-26-1055. Likely the same operator (Syndicate B).",TaXJKCK9ovAdBPusifBMZffqGgWqouRt8m
RAAZ-26-1012,Fan-out distribution,High,0.91,Reported wallet split funds into 6 fresh wallets within minutes of the last victim payment.,0xe428c7ef4a63114041287a7cef5b76d5722d21cc;0x5fdb17f036e90bbaa653c7154b87811450b01f6b;0x160107d3350bdfd241640d548f5ff089f218d6c4;0x8dcacb1c44648eb5aa90f4848b51342bd58b78ba;0x5de5d768ebd63bdf8ce14ca6d5cda86ff295702a;0x0c68e5090cfabb0e52752d1217216c80c5fa31e6;0xd067877a33232d512a9531c572477cb306bbea8d
RAAZ-26-1012,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x89686d90de06a6be63ca602cdab6765c4504c519
RAAZ-26-1012,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 3 other RAAZ case(s): RAAZ-26-1010, RAAZ-26-1013, RAAZ-26-1014. Likely the same operator (Syndicate D).",0x89686d90de06a6be63ca602cdab6765c4504c519
RAAZ-26-1013,Fan-out distribution,High,0.91,Reported wallet split funds into 5 fresh wallets within minutes of the last victim payment.,0xaca94354f355772354821efbd41c2fca055f2ddd;0x14e3cb5f7cb8f3fdc2138b89486eeca37fad92e1;0x8f2ddf8338198b6e7cef6107ea398027bf322a2c;0x08178a30e02b81949b6af0f2ee490059a3bf2424;0xb54a021ed529953397a6a050fd33e171fb04de28;0x61582ef5f9feabf95c454e5eaca3dacfdd06eaa0
RAAZ-26-1013,Peel chain,High,0.88,5-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,0x5a6e27ee1edaa7c71b274df006f6e319193e8fc1;0x273444ca25d51eefff9b19991998c0c948626759;0x95021a478a7658db491e77cf4d7006b99374f2fb;0x7b1abacbad786cd06a7284baffc41f1c3ff25c69;0xfb51f57f7cc07c0233eb3f905004adecb7400271;0x40dfaf2a3790a216dba6acaf1f641e8175e0123e;0x243ef1d5517c9b719821d7aa3be2b1c8a92e80a7;0xc5e7bd308b71cf3c589b7f61ff962796b4369386;0x763e87eff4c2cb6d2dd7ee9cb2ed8001134b491a;0x0321f98629a00398145adb7b622cf77293005a6f
RAAZ-26-1013,Fan-in from unrelated sources,Medium,0.78,3 other wallets paid into the reported wallet in the same window - possible additional victims.,0x95c8bc0145339e67887313fdb33c609d3017ead1;0x85ae1a991b7e1e85333982ff2882207fb05b9a0a;0x61117a676df92a6e3ce8904149902cc5ac6952bf
RAAZ-26-1013,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x89686d90de06a6be63ca602cdab6765c4504c519
RAAZ-26-1013,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,0x4b26e02e9de73b35b4fb64a16972f856a593d050
RAAZ-26-1013,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 3 other RAAZ case(s): RAAZ-26-1010, RAAZ-26-1012, RAAZ-26-1014. Likely the same operator (Syndicate D).",0x89686d90de06a6be63ca602cdab6765c4504c519
RAAZ-26-1014,Fan-out distribution,High,0.91,Reported wallet split funds into 4 fresh wallets within minutes of the last victim payment.,0xdad8be477789806118abf047c0ce6bca0c06e87c;0x3671722790c5bea4c88506a8d0d331f78dd7f1d3;0xd8ba284b7f5fb97953245e680f7fc775bae1b774;0xc3a66052838452067fd296c0be2312728a5e4f88;0xfbbd4be6f1129ff605a623cda40bc927c323492d
RAAZ-26-1014,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",0x3671722790c5bea4c88506a8d0d331f78dd7f1d3;0xd8ba284b7f5fb97953245e680f7fc775bae1b774;0xc3a66052838452067fd296c0be2312728a5e4f88;0xfbbd4be6f1129ff605a623cda40bc927c323492d
RAAZ-26-1014,Fan-in from unrelated sources,Medium,0.78,3 other wallets paid into the reported wallet in the same window - possible additional victims.,0x263cbc135c5f7ee2bbc9d433307e50cf12cda3b3;0x3ed9633e3619895fdd2ee8bd462b9fdd5e5a214f;0x2cb1a980f639e8f93ee48aa6dbfa47bf07777200
RAAZ-26-1014,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x89686d90de06a6be63ca602cdab6765c4504c519
RAAZ-26-1014,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 3 other RAAZ case(s): RAAZ-26-1010, RAAZ-26-1012, RAAZ-26-1013. Likely the same operator (Syndicate D).",0x89686d90de06a6be63ca602cdab6765c4504c519
RAAZ-26-1015,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",T7j5tg2Wcc5pNbJNmP2hTKyMkZSxCt32gz;Tqwb85vWDNa29eEr4jZg44NWcKxHc9LH5V
RAAZ-26-1015,Fan-in from unrelated sources,Medium,0.78,5 other wallets paid into the reported wallet in the same window - possible additional victims.,TMD4RzPmNVjHb1SLVbsYKpUvsvbiSnNyQY;TyVf4fxpe3DtNovE6XhjtXuvpWM84StFBa;TaqrasXmYB1egUZveWfLeVhFwiNeec2qSo;TaKNGDahg51uNeni2SbXGeg6L1EcDV1Xts;ThQ7YvfCcPkKmMDT1tFKCGnHuAgjEunJJ7
RAAZ-26-1015,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,Teapzuw1VCkugrPRHbwwWyv6Teq5dGVZY4
RAAZ-26-1015,Funds dormant in layering wallets,Medium,0.8,No exchange deposit observed yet; funds are sitting in layering wallets. Recommend adding to watchlist.,T7j5tg2Wcc5pNbJNmP2hTKyMkZSxCt32gz;Tqwb85vWDNa29eEr4jZg44NWcKxHc9LH5V
RAAZ-26-1016,Fan-out distribution,High,0.91,Reported wallet split funds into 3 fresh wallets within minutes of the last victim payment.,TMVk6tMpAFCSnrivARfWexHQPuHzGRFPBw;THpCedhTEBnqPRBP2Mu4E3eRnnufChfkWq;TGuy27UAXc2gSNyne3b4HSaYibp2Y8MEtr;TM4peDgH4NTHoP8pkCBVZPrpR56CDpTcxg
RAAZ-26-1016,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",THpCedhTEBnqPRBP2Mu4E3eRnnufChfkWq;TGuy27UAXc2gSNyne3b4HSaYibp2Y8MEtr;TM4peDgH4NTHoP8pkCBVZPrpR56CDpTcxg
RAAZ-26-1016,Fan-in from unrelated sources,Medium,0.78,5 other wallets paid into the reported wallet in the same window - possible additional victims.,TKxcVd3LnYJGL12XCC5VV7ccdDmfBEcfBr;T2NMqX4PXWcPkpWV3B7SJyARAGcXh6afwr;TU9s75dCH7yVnR6vtm8ENPMsnAyM4gKcZw;T8wrsSQVLgmuoH8bWPdDLkYkATZPMZwqt5;TwwdNyBD4aq171TqA59ErwTiTvGUSvBAJ9
RAAZ-26-1016,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,TD5dsuRfsnyGGRpaxUmgK1UcP7xDMjkKFe
RAAZ-26-1017,Fan-out distribution,High,0.91,Reported wallet split funds into 5 fresh wallets within minutes of the last victim payment.,0x5be7808eab304c48a3f5f3d6301720702799e5ca;0xb2f08d58e24a14d7f20da968b44b4886cce311e7;0x741af0a87a0583ba1d064ffedfbc19a25c1b8013;0x8ad192b650ec78d0c0bb14727885e782ec3aacd4;0xe7f16bbbd0357699693b50547ba8962e90812fe5;0x705db73fd8b74788221229cdcb5d1c4d1f387987
RAAZ-26-1017,Consolidation before cash-out,Medium,0.82,Multiple layering branches re-merge into one wallet shortly before reaching an exchange.,0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1017,Cross-case linkage,Critical,0.9,"Consolidation wallet also appears in 5 other RAAZ case(s): RAAZ-26-1022, RAAZ-26-1027, RAAZ-26-1035, RAAZ-26-1040, RAAZ-26-1060. Likely the same operator (Syndicate C).",0x7d97e08c1b728e877573edec907db4a7969187e9
RAAZ-26-1018,Fan-out distribution,High,0.91,Reported wallet split funds into 5 fresh wallets within minutes of the last victim payment.,bc1qggpfqfclkvwyl8dk0nsr8eaq5maphz4pwpq0qd;bc1qtkrjsxt2pwrdkzjzuea63t0l42pvu9dh5mpw3c;bc1q7z57u8n3knl3dyqfedl97493uzaklgknqv2eq8;bc1qqptuvsr5tgagc36ndjrk7a972j7deltrk3l280;bc1qfcgqyx87rr5e6qkjs5dp620hqpxlqtdqpm8d6m;bc1q0pgzq7884ul09hyyrs4ekrgrvzanxq0qfrp0g4
RAAZ-26-1018,Peel chain,High,0.88,6-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,bc1qf3jtdyt7ykx2tk6qu2vmvpjyxv7ek2y6kkc0su;bc1qace8l08m5eyh2vkwpum2ktvxa2q2nsppfvw9wg;bc1qjyqqtfgvrhzh2wg04ryltz2tyqr20nr0779dap;bc1qxk4gjy2d2nz3fk8sejgsvmck9p04l85llz8eex;bc1qgw7g9d2rghw8r0g03qh7smtagvz23czx76pnue;bc1qwytfgdfq0f8vwzgh3t27rfa9hul9kw4mlgdr5l;bc1qcs390ysr2wmgygghhagfkc7sn0c7yugk20j7zl;bc1qakxkpm24320vh06k8dv4khafq53v0xdzlyx9v7;bc1qmu2jljks7uthh5u3ny3zhla8dfclqn9z7ahfkh;bc1qg4wc7yphj9scapfc6tmcmvwqpzznc04u8qq2qq;bc1qkmupwe597dygmjjffp8ggh4sk5sl0f0yj55z2f;bc1qn0j8g6sdryaxfpt6fmtvpz6kyxseyyd274k6ex
RAAZ-26-1018,Rapid layering (high velocity),High,0.84,"Median time between hops is under 30 minutes, consistent with scripted or automated movement.",bc1qtkrjsxt2pwrdkzjzuea63t0l42pvu9dh5mpw3c;bc1q7z57u8n3knl3dyqfedl97493uzaklgknqv2eq8;bc1qqptuvsr5tgagc36ndjrk7a972j7deltrk3l280;bc1qfcgqyx87rr5e6qkjs5dp620hqpxlqtdqpm8d6m;bc1q0pgzq7884ul09hyyrs4ekrgrvzanxq0qfrp0g4
RAAZ-26-1018,Fan-in from unrelated sources,Medium,0.78,3 other wallets paid into the reported wallet in the same window - possible additional victims.,bc1qvf6l2hlsz00f5sfwwzcky4nnq956pc2kz9q5kc;bc1qj0vdwtdcwl6apprp5jg5dlah7yctpaz4yvpf9c;bc1qv73la5ny0n9e0lax7rwq7mt2krcleynwjeca5d
RAAZ-26-1018,Dusting activity,Low,0.65,Tiny-value transfers received from a single source - possible address probing.,bc1q7yzhphasvp6lu8d7jf0pgkqq7c0rz2dldsjr75
RAAZ-26-1018,Funds dormant in layering wallets,Medium,0.8,No exchange deposit observed yet; funds are sitting in layering wallets. Recommend adding to watchlist.,bc1qtkrjsxt2pwrdkzjzuea63t0l42pvu9dh5mpw3c;bc1q7z57u8n3knl3dyqfedl97493uzaklgknqv2eq8;bc1qqptuvsr5tgagc36ndjrk7a972j7deltrk3l280;bc1qfcgqyx87rr5e6qkjs5dp620hqpxlqtdqpm8d6m;bc1q0pgzq7884ul09hyyrs4ekrgrvzanxq0qfrp0g4
RAAZ-26-1019,Fan-out distribution,High,0.91,Reported wallet split funds into 6 fresh wallets within minutes of the last victim payment.,bc1q5566n8tqlvxfrttvuwa84zrscg7wrparfme5ch;bc1q8uwtz8j30nrww7xfsv9tgek47ecu3kjpatk6dx;bc1q08nenuyy7q96ptu50fwnwpeck3gr250l6u9z0g;bc1qdhut4dyz5458mtfxzaanhpfaftz665as69vgn3;bc1qcjcmwp4ap0lztvg4m9ls0su97wppm3yzxt2s6c;bc1qwhfvd5xufug4sft8dfl5teln4sn4xgq4lhja2m;bc1qyclre85emuhsfgl55ytyzfxns0m56ta5dvhasq
RAAZ-26-1019,Peel chain,High,0.88,4-step peel chain: each hop sheds 5-14% to a side wallet and forwards the change.,bc1qft4z7hz2sl2s6huywgc8527mf2ymqxn29mwy98;bc1q4ggq8v5nsahxam3dg6t8w8543562d08drz8x7a;bc1qvap48vfzyfczzfpu52tls3vt5qnyxm4rr6h65f;bc1q0kfkn6cz73szhkzyzppwmd0dd236l3apudna37;bc1qefs46rgjk4xxs7z67tyy6f74ccvnrfzxy9zzsk;bc1qst8mpgnyz582mfh2873yl89pfqmlj0sar0f7cw;bc1qsv2v4xnlz8zy7h0pkfany0c89whkjc4l7lqjca;bc1q5nc6uptrp2p5ac6klef4c478j7txsltcgeed6c
